,steam_id,items_count
0,76561197970982479,277
277,76561198035864385,888
1165,76561198007712555,137
1302,76561197963445855,328
1630,76561198002099482,541
2171,76561198004744620,371
2542,76561197990951820,304
2846,76561198035296505,258
3104,76561198026584251,629
3733,76561198007659921,115
3848,76561198103696236,71
3919,76561198027078629,253
4172,76561198064823719,55
4227,76561198071532177,14
4241,76561198089393905,103
4344,76561198156664158,59
4403,76561198077246154,174
4577,76561198070234207,33
4610,76561198041660154,28
4638,76561198010803705,524
5162,76561198018556265,121
5283,76561198122837537,96
5379,76561198026039330,152
5531,76561198030389591,12
5543,76561198087659130,59
5602,76561198054746068,99
5701,76561198043472122,88
5789,76561198062570934,185
5974,76561198076096109,43
6017,76561198066849709,77
6094,76561198056795460,50
6144,76561198026157558,62
6206,76561198053289985,196
6402,76561198062380099,68
6470,76561198037965617,50
6520,76561198058373434,49
6569,76561198048353577,95
6664,76561198072190369,32
6696,76561198066046412,48
6744,76561198071250884,62
6806,76561198096285145,50
6856,76561198070565427,75
6931,76561198078235843,32
6963,76561198076909484,11
6974,76561198066908262,10
6984,76561198129159264,73
7057,76561198305694024,5
7062,76561198011733673,6
7068,76561198086431390,59
7127,76561198054540475,106
7233,76561198100701221,96
7329,76561198085547365,65
7394,76561198061252210,25
7419,76561198059361962,51
7470,76561198056147391,7
7477,76561198033538808,81
7558,76561198071500702,13
7571,76561198099905030,78
7649,76561198047407223,56
7705,76561198048020950,72
7777,76561198073719185,73
7850,76561198106550365,149
7999,76561198100297613,74
8073,76561198092825399,168
8241,76561198083226897,6
8247,76561198075277292,14
8261,76561198094630961,20
8281,76561198091016962,64
8345,76561198028895010,190
8535,76561198092411867,20
8555,76561198170198366,27
8582,76561198082027703,200
8782,76561198058169014,41
8823,76561198079863506,26
8849,76561197999173629,161
9010,76561198078738103,33
9043,76561198068964564,12
9055,76561198067936203,46
9101,76561198079770573,30
9131,76561198073052495,10
9141,76561197977385164,12
9153,76561198075491015,34
9187,76561198087586464,31
9218,76561198086878953,185
9403,76561198045022050,18
9421,76561198070194565,214
9635,76561198104187800,51
9686,76561198059463642,25
9711,76561198053985682,188
9899,76561198052850911,172
10071,76561198093083895,15
10086,76561198138053270,64
10150,76561198062422084,83
10233,76561198065991640,64
10297,76561198100886422,62
10359,76561198087444424,77
10436,76561198060827877,77
10513,76561198037380683,67
10580,76561198034678103,49
10629,76561198075895633,38
10667,76561198066482493,16
10683,76561198031442694,476
11159,76561198101807736,124
11283,76561198092334812,36
11319,76561198087667012,79
11398,76561198043608819,174
11572,76561198055519677,255
11827,76561198095258412,21
11848,76561198093817084,65
11913,76561198102421718,88
12001,76561198079045885,36
12037,76561198087407319,66
12103,76561198074466513,31
12134,76561198048517110,20
12154,76561198069523027,94
12248,76561198056505985,39
12287,76561198056741844,257
12544,76561198040301510,306
12850,76561198030567998,75
12925,76561198126946946,133
13058,76561198082552101,174
13232,76561198027380739,133
13365,76561198065666007,52
13417,76561198026747561,123
13540,76561198088799241,76
13616,76561198061730629,87
13703,76561198024740070,153
13856,76561198073017892,23
13879,76561198072732874,49
13928,76561198093112529,30
13958,76561198131248794,28
13986,76561198060447950,55
14041,76561198136952974,21
14062,76561198056857968,64
14126,76561198084507508,80
14206,76561198061508205,55
14261,76561198052897627,20
14281,76561198081962345,95
14376,76561198039266268,13
14389,76561198094224872,25
14414,76561198073210139,39
14453,76561198076738682,108
14561,76561198076933844,33
14594,76561198072186059,57
14651,76561198069920369,344
14995,76561198068621601,8
15003,76561198056290589,41
15044,76561198075905679,456
15500,76561198097762318,22
15522,76561198061518530,81
15603,76561198066728567,68
15671,76561198183396245,24
15695,76561198050051886,115
