Genre,Total_Hours,Rank
Action,3113562606,1
Indie,1494622404,2
RPG,1041022718,3
Adventure,909995120,4
Simulation,867646306,5
Strategy,659363841,6
Free to Play,610752945,7
Massively Multiplayer,446594080,8
Casual,252232854,9
Early Access,158701268,10
Sports,65849177,11
Racing,63698455,12
Utilities,4702399,13
Design &amp; Illustration,4102258,14
Web Publishing,2780605,15
Video Production,2408892,16
Animation &amp; Modeling,2007347,17
Software Training,571032,18
Audio Production,556002,19
Education,415556,20
Photo Editing,115425,21
